student_id,name,course,course_type,year,gender,age,fee_total,fee_paid,fee_pending,fee_status
GTC0052,Student_52,BA,UG,1,Female,19,8000,8000,0,Paid
GTC0053,Student_53,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0054,Student_54,BA,UG,2,Female,19,8000,2153,5847,Pending
GTC0055,Student_55,BA,UG,1,Female,19,8000,8000,0,Paid
GTC0056,Student_56,BA,UG,1,Female,19,8000,8000,0,Paid
GTC0057,Student_57,BA,UG,1,Male,19,8000,2742,5258,Pending
GTC0058,Student_58,BA,UG,2,Female,18,8000,2589,5411,Pending
GTC0059,Student_59,BA,UG,2,Male,22,8000,8000,0,Paid
GTC0060,Student_60,BA,UG,3,Male,19,8000,2166,5834,Pending
GTC0061,Student_61,BA,UG,2,Female,19,8000,8000,0,Paid
GTC0062,Student_62,BA,UG,2,Male,19,8000,8000,0,Paid
GTC0063,Student_63,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0064,Student_64,BA,UG,1,Female,18,8000,8000,0,Paid
GTC0065,Student_65,BA,UG,3,Male,21,8000,6115,1885,Pending
GTC0066,Student_66,BA,UG,2,Female,21,8000,8000,0,Paid
GTC0067,Student_67,BA,UG,3,Female,20,8000,8000,0,Paid
GTC0068,Student_68,BA,UG,1,Male,22,8000,8000,0,Paid
GTC0069,Student_69,BA,UG,1,Female,20,8000,6084,1916,Pending
GTC0070,Student_70,BA,UG,3,Male,19,8000,6769,1231,Pending
GTC0071,Student_71,BA,UG,1,Female,20,8000,8000,0,Paid
GTC0072,Student_72,BA,UG,3,Male,19,8000,8000,0,Paid
GTC0073,Student_73,BA,UG,2,Female,21,8000,4717,3283,Pending
GTC0074,Student_74,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0075,Student_75,BA,UG,3,Male,21,8000,8000,0,Paid
GTC0076,Student_76,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0077,Student_77,BA,UG,1,Female,20,8000,3942,4058,Pending
GTC0078,Student_78,BA,UG,1,Male,19,8000,8000,0,Paid
GTC0079,Student_79,BA,UG,2,Male,19,8000,8000,0,Paid
GTC0080,Student_80,BA,UG,3,Female,21,8000,2162,5838,Pending
GTC0081,Student_81,BA,UG,1,Female,20,8000,4134,3866,Pending
GTC0082,Student_82,BA,UG,1,Female,19,8000,8000,0,Paid
GTC0083,Student_83,BA,UG,1,Male,21,8000,8000,0,Paid
GTC0084,Student_84,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0085,Student_85,BA,UG,2,Male,18,8000,4139,3861,Pending
GTC0086,Student_86,BA,UG,3,Female,18,8000,8000,0,Paid
GTC0087,Student_87,BA,UG,2,Female,19,8000,8000,0,Paid
GTC0088,Student_88,BA,UG,2,Female,19,8000,8000,0,Paid
GTC0089,Student_89,BA,UG,2,Male,22,8000,8000,0,Paid
GTC0090,Student_90,BA,UG,3,Male,18,8000,8000,0,Paid
GTC0091,Student_91,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0092,Student_92,BA,UG,3,Female,20,8000,8000,0,Paid
GTC0093,Student_93,BA,UG,3,Female,20,8000,8000,0,Paid
GTC0094,Student_94,BA,UG,2,Male,18,8000,8000,0,Paid
GTC0095,Student_95,BA,UG,1,Female,20,8000,2275,5725,Pending
GTC0096,Student_96,BA,UG,2,Female,18,8000,6292,1708,Pending
GTC0097,Student_97,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0098,Student_98,BA,UG,3,Female,18,8000,6489,1511,Pending
GTC0099,Student_99,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0100,Student_100,BA,UG,2,Female,21,8000,8000,0,Paid
GTC0101,Student_101,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0102,Student_102,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0103,Student_103,BA,UG,1,Female,21,8000,5392,2608,Pending
GTC0104,Student_104,BA,UG,1,Male,22,8000,8000,0,Paid
GTC0105,Student_105,BA,UG,2,Male,22,8000,8000,0,Paid
GTC0106,Student_106,BA,UG,1,Male,18,8000,8000,0,Paid
GTC0107,Student_107,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0108,Student_108,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0109,Student_109,BA,UG,3,Female,22,8000,8000,0,Paid
GTC0110,Student_110,BA,UG,3,Female,21,8000,8000,0,Paid
GTC0111,Student_111,BA,UG,3,Female,22,8000,8000,0,Paid
GTC0112,Student_112,BA,UG,3,Male,19,8000,8000,0,Paid
GTC0113,Student_113,BA,UG,3,Female,19,8000,8000,0,Paid
GTC0114,Student_114,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0115,Student_115,BA,UG,3,Female,18,8000,6149,1851,Pending
GTC0116,Student_116,BA,UG,2,Female,19,8000,8000,0,Paid
GTC0117,Student_117,BA,UG,2,Female,20,8000,8000,0,Paid
GTC0118,Student_118,BA,UG,3,Female,20,8000,8000,0,Paid
GTC0119,Student_119,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0120,Student_120,BA,UG,1,Female,22,8000,8000,0,Paid
GTC0121,Student_121,BA,UG,1,Female,19,8000,8000,0,Paid
GTC0122,Student_122,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0123,Student_123,BA,UG,1,Female,19,8000,6623,1377,Pending
GTC0124,Student_124,BA,UG,3,Male,20,8000,1998,6002,Pending
GTC0125,Student_125,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0126,Student_126,BA,UG,2,Female,19,8000,8000,0,Paid
GTC0127,Student_127,BA,UG,1,Female,21,8000,3331,4669,Pending
GTC0128,Student_128,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0129,Student_129,BA,UG,2,Male,19,8000,8000,0,Paid
GTC0130,Student_130,BA,UG,2,Female,21,8000,8000,0,Paid
GTC0131,Student_131,BA,UG,1,Male,21,8000,8000,0,Paid
GTC0132,Student_132,BA,UG,3,Female,22,8000,8000,0,Paid
GTC0133,Student_133,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0134,Student_134,BA,UG,1,Male,21,8000,8000,0,Paid
GTC0135,Student_135,BA,UG,2,Male,22,8000,8000,0,Paid
GTC0136,Student_136,BA,UG,1,Female,19,8000,8000,0,Paid
GTC0137,Student_137,BA,UG,1,Female,21,8000,5667,2333,Pending
GTC0138,Student_138,BA,UG,2,Male,18,8000,8000,0,Paid
GTC0139,Student_139,BA,UG,3,Male,22,8000,1894,6106,Pending
GTC0140,Student_140,BA,UG,1,Female,18,8000,8000,0,Paid
GTC0141,Student_141,BA,UG,1,Male,18,8000,5454,2546,Pending
GTC0142,Student_142,BA,UG,1,Male,18,8000,8000,0,Paid
GTC0143,Student_143,BA,UG,2,Female,19,8000,8000,0,Paid
GTC0144,Student_144,BA,UG,1,Female,20,8000,8000,0,Paid
GTC0145,Student_145,BA,UG,1,Female,22,8000,5060,2940,Pending
GTC0146,Student_146,BA,UG,2,Female,20,8000,8000,0,Paid
GTC0147,Student_147,BA,UG,2,Female,21,8000,8000,0,Paid
GTC0148,Student_148,BA,UG,2,Female,19,8000,8000,0,Paid
GTC0149,Student_149,BA,UG,1,Male,19,8000,8000,0,Paid
GTC0150,Student_150,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0151,Student_151,BA,UG,3,Male,19,8000,8000,0,Paid
GTC0152,Student_152,BA,UG,3,Male,18,8000,8000,0,Paid
GTC0153,Student_153,BA,UG,2,Male,19,8000,3964,4036,Pending
GTC0154,Student_154,BA,UG,1,Female,20,8000,8000,0,Paid
GTC0155,Student_155,BA,UG,3,Female,22,8000,3650,4350,Pending
GTC0156,Student_156,BA,UG,3,Male,20,8000,8000,0,Paid
GTC0157,Student_157,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0158,Student_158,BA,UG,3,Male,19,8000,8000,0,Paid
GTC0159,Student_159,BA,UG,3,Male,18,8000,8000,0,Paid
GTC0160,Student_160,BA,UG,3,Female,18,8000,8000,0,Paid
GTC0161,Student_161,BA,UG,1,Male,22,8000,6084,1916,Pending
GTC0162,Student_162,BA,UG,3,Male,21,8000,8000,0,Paid
GTC0163,Student_163,BA,UG,3,Male,19,8000,6800,1200,Pending
GTC0164,Student_164,BA,UG,2,Male,18,8000,8000,0,Paid
GTC0165,Student_165,BA,UG,1,Male,19,8000,8000,0,Paid
GTC0166,Student_166,BA,UG,1,Male,21,8000,8000,0,Paid
GTC0167,Student_167,BA,UG,3,Female,18,8000,8000,0,Paid
GTC0168,Student_168,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0169,Student_169,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0170,Student_170,BA,UG,2,Male,18,8000,8000,0,Paid
GTC0171,Student_171,BA,UG,3,Male,20,8000,8000,0,Paid
GTC0172,Student_172,BA,UG,2,Male,22,8000,8000,0,Paid
GTC0173,Student_173,BA,UG,3,Female,19,8000,8000,0,Paid
GTC0174,Student_174,BA,UG,1,Male,19,8000,8000,0,Paid
GTC0175,Student_175,BA,UG,2,Male,18,8000,4259,3741,Pending
GTC0176,Student_176,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0177,Student_177,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0178,Student_178,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0179,Student_179,BA,UG,2,Male,22,8000,8000,0,Paid
GTC0180,Student_180,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0181,Student_181,BA,UG,3,Male,18,8000,8000,0,Paid
GTC0182,Student_182,BA,UG,3,Female,19,8000,6750,1250,Pending
GTC0183,Student_183,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0184,Student_184,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0185,Student_185,BA,UG,1,Male,20,8000,8000,0,Paid
GTC0186,Student_186,BA,UG,2,Male,19,8000,8000,0,Paid
GTC0187,Student_187,BA,UG,2,Female,20,8000,8000,0,Paid
GTC0188,Student_188,BA,UG,1,Male,18,8000,8000,0,Paid
GTC0189,Student_189,BA,UG,1,Female,20,8000,8000,0,Paid
GTC0190,Student_190,BA,UG,2,Female,21,8000,8000,0,Paid
GTC0191,Student_191,BA,UG,1,Female,20,8000,2187,5813,Pending
GTC0192,Student_192,BA,UG,3,Female,18,8000,8000,0,Paid
GTC0193,Student_193,BA,UG,3,Male,19,8000,5249,2751,Pending
GTC0194,Student_194,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0195,Student_195,BA,UG,1,Female,20,8000,8000,0,Paid
GTC0196,Student_196,BA,UG,3,Male,22,8000,6982,1018,Pending
GTC0197,Student_197,BA,UG,1,Male,18,8000,8000,0,Paid
GTC0198,Student_198,BA,UG,1,Male,19,8000,8000,0,Paid
GTC0199,Student_199,BA,UG,1,Male,18,8000,8000,0,Paid
GTC0200,Student_200,BA,UG,3,Female,19,8000,8000,0,Paid
GTC0201,Student_201,BA,UG,2,Female,20,8000,8000,0,Paid
GTC0202,Student_202,BA,UG,1,Male,21,8000,1912,6088,Pending
GTC0203,Student_203,BA,UG,1,Female,22,8000,8000,0,Paid
GTC0204,Student_204,BA,UG,3,Male,19,8000,8000,0,Paid
GTC0205,Student_205,BA,UG,1,Male,20,8000,3767,4233,Pending
GTC0206,Student_206,BA,UG,2,Male,18,8000,8000,0,Paid
GTC0207,Student_207,BA,UG,2,Female,21,8000,6378,1622,Pending
GTC0208,Student_208,BA,UG,1,Female,20,8000,8000,0,Paid
GTC0209,Student_209,BA,UG,3,Female,22,8000,5086,2914,Pending
GTC0210,Student_210,BA,UG,2,Female,20,8000,8000,0,Paid
GTC0211,Student_211,BA,UG,1,Male,22,8000,8000,0,Paid
GTC0212,Student_212,BA,UG,2,Male,22,8000,8000,0,Paid
GTC0213,Student_213,BA,UG,3,Female,20,8000,3271,4729,Pending
GTC0214,Student_214,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0215,Student_215,BA,UG,1,Female,22,8000,8000,0,Paid
GTC0216,Student_216,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0217,Student_217,BA,UG,3,Female,22,8000,8000,0,Paid
GTC0218,Student_218,BA,UG,2,Female,21,8000,8000,0,Paid
GTC0219,Student_219,BA,UG,2,Female,21,8000,8000,0,Paid
GTC0220,Student_220,BA,UG,1,Female,18,8000,8000,0,Paid
GTC0221,Student_221,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0222,Student_222,BA,UG,3,Female,20,8000,8000,0,Paid
GTC0223,Student_223,BA,UG,1,Male,20,8000,8000,0,Paid
GTC0224,Student_224,BA,UG,1,Female,22,8000,7187,813,Pending
GTC0225,Student_225,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0226,Student_226,BA,UG,2,Male,21,8000,6961,1039,Pending
GTC0227,Student_227,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0228,Student_228,BA,UG,3,Male,20,8000,8000,0,Paid
GTC0229,Student_229,BA,UG,2,Male,21,8000,5543,2457,Pending
GTC0230,Student_230,BA,UG,1,Female,18,8000,8000,0,Paid
GTC0231,Student_231,BA,UG,1,Female,19,8000,8000,0,Paid
GTC0232,Student_232,BA,UG,2,Male,19,8000,5041,2959,Pending
GTC0233,Student_233,BA,UG,1,Female,19,8000,5889,2111,Pending
GTC0234,Student_234,BA,UG,1,Male,19,8000,8000,0,Paid
GTC0235,Student_235,BA,UG,3,Female,20,8000,8000,0,Paid
GTC0236,Student_236,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0237,Student_237,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0238,Student_238,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0239,Student_239,BA,UG,1,Male,22,8000,8000,0,Paid
GTC0240,Student_240,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0241,Student_241,BA,UG,3,Female,19,8000,8000,0,Paid
GTC0242,Student_242,BA,UG,1,Female,22,8000,8000,0,Paid
GTC0243,Student_243,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0244,Student_244,BA,UG,1,Female,22,8000,8000,0,Paid
GTC0245,Student_245,BA,UG,1,Male,22,8000,8000,0,Paid
GTC0246,Student_246,BA,UG,3,Female,18,8000,1639,6361,Pending
GTC0247,Student_247,BA,UG,3,Male,18,8000,8000,0,Paid
GTC0248,Student_248,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0249,Student_249,BA,UG,1,Male,18,8000,8000,0,Paid
GTC0250,Student_250,BA,UG,3,Female,19,8000,6363,1637,Pending
GTC0251,Student_251,BA,UG,3,Male,18,8000,8000,0,Paid
GTC0252,Student_252,BA,UG,1,Female,20,8000,8000,0,Paid
GTC0253,Student_253,BA,UG,2,Male,22,8000,8000,0,Paid
GTC0254,Student_254,BA,UG,3,Female,18,8000,5547,2453,Pending
GTC0255,Student_255,BA,UG,3,Female,20,8000,8000,0,Paid
GTC0256,Student_256,BA,UG,1,Female,20,8000,8000,0,Paid
GTC0257,Student_257,BA,UG,3,Female,19,8000,5610,2390,Pending
GTC0258,Student_258,BA,UG,1,Male,22,8000,8000,0,Paid
GTC0259,Student_259,BA,UG,1,Male,22,8000,8000,0,Paid
GTC0260,Student_260,BA,UG,2,Female,20,8000,8000,0,Paid
GTC0261,Student_261,BA,UG,2,Female,19,8000,8000,0,Paid
GTC0262,Student_262,BA,UG,1,Female,20,8000,7158,842,Pending
GTC0263,Student_263,BA,UG,1,Male,22,8000,3670,4330,Pending
GTC0264,Student_264,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0265,Student_265,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0266,Student_266,BA,UG,3,Female,18,8000,8000,0,Paid
GTC0267,Student_267,BA,UG,2,Female,18,8000,3644,4356,Pending
GTC0268,Student_268,BA,UG,1,Male,22,8000,6428,1572,Pending
GTC0269,Student_269,BA,UG,1,Female,22,8000,8000,0,Paid
GTC0270,Student_270,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0271,Student_271,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0272,Student_272,BA,UG,3,Male,19,8000,8000,0,Paid
GTC0273,Student_273,BA,UG,3,Male,20,8000,8000,0,Paid
GTC0274,Student_274,BA,UG,3,Female,22,8000,6563,1437,Pending
GTC0275,Student_275,BA,UG,3,Male,21,8000,8000,0,Paid
GTC0276,Student_276,BA,UG,1,Male,19,8000,8000,0,Paid
GTC0277,Student_277,BA,UG,2,Male,19,8000,5093,2907,Pending
GTC0278,Student_278,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0279,Student_279,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0280,Student_280,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0281,Student_281,BA,UG,1,Female,21,8000,4269,3731,Pending
GTC0282,Student_282,BA,UG,3,Female,22,8000,8000,0,Paid
GTC0283,Student_283,BA,UG,1,Female,22,8000,8000,0,Paid
GTC0284,Student_284,BA,UG,1,Male,22,8000,8000,0,Paid
GTC0285,Student_285,BA,UG,3,Male,18,8000,8000,0,Paid
GTC0286,Student_286,BA,UG,1,Female,22,8000,8000,0,Paid
GTC0287,Student_287,BA,UG,3,Male,19,8000,3089,4911,Pending
GTC0288,Student_288,BA,UG,1,Female,18,8000,8000,0,Paid
GTC0289,Student_289,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0290,Student_290,BA,UG,1,Male,21,8000,8000,0,Paid
GTC0291,Student_291,BA,UG,3,Female,19,8000,4455,3545,Pending
GTC0292,Student_292,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0293,Student_293,BA,UG,1,Male,19,8000,8000,0,Paid
GTC0294,Student_294,BA,UG,3,Male,19,8000,8000,0,Paid
GTC0295,Student_295,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0296,Student_296,BA,UG,3,Male,20,8000,4348,3652,Pending
GTC0297,Student_297,BA,UG,3,Male,21,8000,8000,0,Paid
GTC0298,Student_298,BA,UG,3,Female,21,8000,5849,2151,Pending
GTC0299,Student_299,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0300,Student_300,BA,UG,3,Male,18,8000,8000,0,Paid
GTC0301,Student_301,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0302,Student_302,BA,UG,1,Female,18,8000,8000,0,Paid
GTC0303,Student_303,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0304,Student_304,BA,UG,3,Male,18,8000,4356,3644,Pending
GTC0305,Student_305,BA,UG,2,Male,20,8000,7126,874,Pending
GTC0306,Student_306,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0307,Student_307,BA,UG,2,Male,21,8000,2977,5023,Pending
GTC0308,Student_308,BA,UG,2,Male,19,8000,8000,0,Paid
GTC0309,Student_309,BA,UG,1,Male,18,8000,6520,1480,Pending
GTC0310,Student_310,BA,UG,1,Female,22,8000,8000,0,Paid
GTC0311,Student_311,BA,UG,2,Female,21,8000,2117,5883,Pending
GTC0312,Student_312,BA,UG,2,Male,18,8000,8000,0,Paid
GTC0313,Student_313,BA,UG,1,Male,18,8000,8000,0,Paid
GTC0314,Student_314,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0315,Student_315,BA,UG,3,Female,21,8000,8000,0,Paid
GTC0316,Student_316,BA,UG,3,Female,19,8000,8000,0,Paid
GTC0317,Student_317,BA,UG,3,Male,18,8000,8000,0,Paid
GTC0318,Student_318,BA,UG,1,Female,18,8000,8000,0,Paid
GTC0319,Student_319,BA,UG,1,Male,19,8000,6774,1226,Pending
GTC0320,Student_320,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0321,Student_321,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0322,Student_322,BA,UG,3,Female,20,8000,6704,1296,Pending
GTC0323,Student_323,BA,UG,3,Female,22,8000,8000,0,Paid
GTC0324,Student_324,BA,UG,2,Female,21,8000,8000,0,Paid
GTC0325,Student_325,BA,UG,3,Male,20,8000,8000,0,Paid
GTC0326,Student_326,BA,UG,2,Male,18,8000,8000,0,Paid
GTC0327,Student_327,BA,UG,2,Female,19,8000,8000,0,Paid
GTC0328,Student_328,BA,UG,3,Male,20,8000,8000,0,Paid
GTC0329,Student_329,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0330,Student_330,BA,UG,2,Female,20,8000,8000,0,Paid
GTC0331,Student_331,BA,UG,3,Male,20,8000,8000,0,Paid
GTC0332,Student_332,BA,UG,1,Female,19,8000,8000,0,Paid
GTC0333,Student_333,BA,UG,3,Female,20,8000,8000,0,Paid
GTC0334,Student_334,BA,UG,1,Male,18,8000,7094,906,Pending
GTC0335,Student_335,BA,UG,2,Female,19,8000,6859,1141,Pending
GTC0336,Student_336,BA,UG,1,Male,21,8000,8000,0,Paid
GTC0337,Student_337,BA,UG,3,Female,20,8000,2825,5175,Pending
GTC0338,Student_338,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0339,Student_339,BA,UG,1,Female,18,8000,8000,0,Paid
GTC0340,Student_340,BA,UG,2,Male,19,8000,2519,5481,Pending
GTC0341,Student_341,BA,UG,2,Male,19,8000,8000,0,Paid
GTC0342,Student_342,BA,UG,3,Male,20,8000,8000,0,Paid
GTC0343,Student_343,BA,UG,1,Female,21,8000,2885,5115,Pending
GTC0344,Student_344,BA,UG,2,Male,18,8000,8000,0,Paid
GTC0345,Student_345,BA,UG,1,Female,20,8000,4274,3726,Pending
GTC0346,Student_346,BA,UG,3,Male,21,8000,2914,5086,Pending
GTC0347,Student_347,BA,UG,3,Female,21,8000,6953,1047,Pending
GTC0348,Student_348,BA,UG,1,Male,18,8000,8000,0,Paid
GTC0349,Student_349,BA,UG,3,Male,21,8000,8000,0,Paid
GTC0350,Student_350,BA,UG,3,Male,21,8000,8000,0,Paid
GTC0351,Student_351,BA,UG,1,Male,22,8000,8000,0,Paid
GTC0352,Student_352,BA,UG,2,Male,18,8000,8000,0,Paid
GTC0353,Student_353,BA,UG,2,Male,22,8000,2158,5842,Pending
GTC0354,Student_354,BA,UG,3,Female,19,8000,8000,0,Paid
GTC0355,Student_355,BA,UG,2,Male,20,8000,5198,2802,Pending
GTC0356,Student_356,BA,UG,2,Female,19,8000,6742,1258,Pending
GTC0357,Student_357,BA,UG,3,Female,20,8000,3328,4672,Pending
GTC0358,Student_358,BA,UG,1,Female,22,8000,8000,0,Paid
GTC0359,Student_359,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0360,Student_360,BA,UG,3,Male,20,8000,6783,1217,Pending
GTC0361,Student_361,BA,UG,3,Male,19,8000,8000,0,Paid
GTC0362,Student_362,BA,UG,2,Male,18,8000,8000,0,Paid
GTC0363,Student_363,BA,UG,3,Male,21,8000,3706,4294,Pending
GTC0364,Student_364,BA,UG,1,Male,20,8000,8000,0,Paid
GTC0365,Student_365,BA,UG,1,Female,19,8000,8000,0,Paid
GTC0366,Student_366,BA,UG,2,Male,22,8000,8000,0,Paid
GTC0367,Student_367,BA,UG,2,Male,19,8000,6667,1333,Pending
GTC0368,Student_368,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0369,Student_369,BA,UG,3,Female,22,8000,8000,0,Paid
GTC0370,Student_370,BA,UG,1,Male,20,8000,8000,0,Paid
GTC0371,Student_371,BA,UG,3,Male,21,8000,8000,0,Paid
GTC0372,Student_372,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0373,Student_373,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0374,Student_374,BA,UG,3,Male,20,8000,6673,1327,Pending
GTC0375,Student_375,BA,UG,1,Male,18,8000,8000,0,Paid
GTC0376,Student_376,BA,UG,3,Female,21,8000,8000,0,Paid
GTC0377,Student_377,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0378,Student_378,BA,UG,1,Male,22,8000,3685,4315,Pending
GTC0379,Student_379,BA,UG,2,Male,19,8000,8000,0,Paid
GTC0380,Student_380,BA,UG,2,Male,18,8000,8000,0,Paid
GTC0381,Student_381,BA,UG,1,Male,18,8000,8000,0,Paid
GTC0382,Student_382,BA,UG,2,Female,20,8000,7104,896,Pending
GTC0383,Student_383,BA,UG,1,Male,21,8000,8000,0,Paid
