student_id,total_days,days_present,overall_attendance_pct,attendance_category
GTC0119,233,188,80.69,Good (75%+)
GTC0120,233,176,75.54,Good (75%+)
GTC0121,233,185,79.4,Good (75%+)
GTC0122,233,168,72.1,Low (<75%)
GTC0123,233,178,76.39,Good (75%+)
GTC0124,233,157,67.38,Low (<75%)
GTC0125,233,179,76.82,Good (75%+)
GTC0126,233,169,72.53,Low (<75%)
GTC0127,233,174,74.68,Low (<75%)
GTC0128,233,191,81.97,Good (75%+)
GTC0129,233,186,79.83,Good (75%+)
GTC0130,233,181,77.68,Good (75%+)
GTC0131,233,161,69.1,Low (<75%)
GTC0132,233,179,76.82,Good (75%+)
GTC0133,233,188,80.69,Good (75%+)
GTC0134,233,171,73.39,Low (<75%)
GTC0135,233,156,66.95,Low (<75%)
GTC0136,233,184,78.97,Good (75%+)
GTC0137,233,172,73.82,Low (<75%)
GTC0138,233,188,80.69,Good (75%+)
GTC0139,233,164,70.39,Low (<75%)
GTC0140,233,186,79.83,Good (75%+)
GTC0141,233,181,77.68,Good (75%+)
GTC0142,233,165,70.82,Low (<75%)
GTC0143,233,167,71.67,Low (<75%)
GTC0144,233,178,76.39,Good (75%+)
GTC0145,233,182,78.11,Good (75%+)
GTC0146,233,170,72.96,Low (<75%)
GTC0147,233,180,77.25,Good (75%+)
GTC0148,233,186,79.83,Good (75%+)
GTC0149,233,198,84.98,Good (75%+)
GTC0150,233,156,66.95,Low (<75%)
GTC0151,233,176,75.54,Good (75%+)
GTC0152,233,184,78.97,Good (75%+)
GTC0153,233,165,70.82,Low (<75%)
GTC0154,233,167,71.67,Low (<75%)
GTC0155,233,174,74.68,Low (<75%)
GTC0156,233,177,75.97,Good (75%+)
GTC0157,233,158,67.81,Low (<75%)
GTC0158,233,166,71.24,Low (<75%)
GTC0159,233,175,75.11,Good (75%+)
GTC0160,233,170,72.96,Low (<75%)
GTC0161,233,173,74.25,Low (<75%)
GTC0162,233,167,71.67,Low (<75%)
GTC0163,233,162,69.53,Low (<75%)
GTC0164,233,166,71.24,Low (<75%)
GTC0165,233,182,78.11,Good (75%+)
GTC0166,233,171,73.39,Low (<75%)
GTC0167,233,170,72.96,Low (<75%)
GTC0168,233,174,74.68,Low (<75%)
GTC0169,233,189,81.12,Good (75%+)
GTC0170,233,181,77.68,Good (75%+)
GTC0171,233,171,73.39,Low (<75%)
GTC0172,233,171,73.39,Low (<75%)
GTC0173,233,157,67.38,Low (<75%)
GTC0174,233,171,73.39,Low (<75%)
GTC0175,233,173,74.25,Low (<75%)
GTC0176,233,174,74.68,Low (<75%)
GTC0177,233,185,79.4,Good (75%+)
GTC0178,233,175,75.11,Good (75%+)
GTC0179,233,165,70.82,Low (<75%)
GTC0180,233,173,74.25,Low (<75%)
GTC0181,233,175,75.11,Good (75%+)
GTC0182,233,183,78.54,Good (75%+)
GTC0183,233,194,83.26,Good (75%+)
GTC0184,233,170,72.96,Low (<75%)
GTC0185,233,150,64.38,Low (<75%)
GTC0186,233,157,67.38,Low (<75%)
GTC0187,233,187,80.26,Good (75%+)
GTC0188,233,191,81.97,Good (75%+)
GTC0189,233,187,80.26,Good (75%+)
GTC0190,233,174,74.68,Low (<75%)
GTC0191,233,187,80.26,Good (75%+)
GTC0192,233,179,76.82,Good (75%+)
GTC0193,233,165,70.82,Low (<75%)
GTC0194,233,170,72.96,Low (<75%)
GTC0195,233,153,65.67,Low (<75%)
GTC0196,233,155,66.52,Low (<75%)
GTC0197,233,181,77.68,Good (75%+)
GTC0198,233,149,63.95,Low (<75%)
GTC0199,233,178,76.39,Good (75%+)
GTC0200,233,150,64.38,Low (<75%)
GTC0201,233,182,78.11,Good (75%+)
GTC0202,233,179,76.82,Good (75%+)
GTC0203,233,168,72.1,Low (<75%)
GTC0204,233,182,78.11,Good (75%+)
GTC0205,233,166,71.24,Low (<75%)
GTC0206,233,186,79.83,Good (75%+)
GTC0207,233,188,80.69,Good (75%+)
GTC0208,233,165,70.82,Low (<75%)
GTC0209,233,193,82.83,Good (75%+)
GTC0210,233,168,72.1,Low (<75%)
GTC0211,233,167,71.67,Low (<75%)
GTC0212,233,174,74.68,Low (<75%)
GTC0213,233,177,75.97,Good (75%+)
GTC0214,233,177,75.97,Good (75%+)
GTC0215,233,179,76.82,Good (75%+)
GTC0216,233,176,75.54,Good (75%+)
GTC0217,233,159,68.24,Low (<75%)
GTC0218,233,184,78.97,Good (75%+)
GTC0219,233,166,71.24,Low (<75%)
GTC0220,233,186,79.83,Good (75%+)
GTC0221,233,198,84.98,Good (75%+)
GTC0222,233,186,79.83,Good (75%+)
GTC0223,233,169,72.53,Low (<75%)
GTC0224,233,176,75.54,Good (75%+)
GTC0225,233,180,77.25,Good (75%+)
GTC0226,233,177,75.97,Good (75%+)
GTC0227,233,172,73.82,Low (<75%)
GTC0228,233,169,72.53,Low (<75%)
GTC0229,233,168,72.1,Low (<75%)
GTC0230,233,181,77.68,Good (75%+)
GTC0231,233,172,73.82,Low (<75%)
GTC0232,233,182,78.11,Good (75%+)
GTC0233,233,174,74.68,Low (<75%)
GTC0234,233,175,75.11,Good (75%+)
GTC0235,233,172,73.82,Low (<75%)
GTC0236,233,177,75.97,Good (75%+)
GTC0237,233,165,70.82,Low (<75%)
GTC0238,233,161,69.1,Low (<75%)
GTC0239,233,151,64.81,Low (<75%)
GTC0240,233,175,75.11,Good (75%+)
GTC0241,233,172,73.82,Low (<75%)
GTC0242,233,156,66.95,Low (<75%)
GTC0243,233,179,76.82,Good (75%+)
GTC0244,233,159,68.24,Low (<75%)
GTC0245,233,172,73.82,Low (<75%)
GTC0246,233,179,76.82,Good (75%+)
GTC0247,233,176,75.54,Good (75%+)
GTC0248,233,179,76.82,Good (75%+)
GTC0249,233,175,75.11,Good (75%+)
GTC0250,233,171,73.39,Low (<75%)
GTC0251,233,157,67.38,Low (<75%)
GTC0252,233,181,77.68,Good (75%+)
GTC0253,233,178,76.39,Good (75%+)
GTC0254,233,162,69.53,Low (<75%)
GTC0255,233,178,76.39,Good (75%+)
GTC0256,233,183,78.54,Good (75%+)
GTC0257,233,160,68.67,Low (<75%)
GTC0258,233,182,78.11,Good (75%+)
GTC0259,233,167,71.67,Low (<75%)
GTC0260,233,172,73.82,Low (<75%)
GTC0261,233,169,72.53,Low (<75%)
GTC0262,233,182,78.11,Good (75%+)
GTC0263,233,175,75.11,Good (75%+)
GTC0264,233,180,77.25,Good (75%+)
GTC0265,233,176,75.54,Good (75%+)
GTC0266,233,169,72.53,Low (<75%)
GTC0267,233,161,69.1,Low (<75%)
GTC0268,233,158,67.81,Low (<75%)
GTC0269,233,173,74.25,Low (<75%)
GTC0270,233,175,75.11,Good (75%+)
GTC0271,233,193,82.83,Good (75%+)
GTC0272,233,162,69.53,Low (<75%)
GTC0273,233,178,76.39,Good (75%+)
GTC0274,233,175,75.11,Good (75%+)
GTC0275,233,175,75.11,Good (75%+)
GTC0276,233,186,79.83,Good (75%+)
GTC0277,233,177,75.97,Good (75%+)
GTC0278,233,181,77.68,Good (75%+)
GTC0279,233,163,69.96,Low (<75%)
GTC0280,233,153,65.67,Low (<75%)
GTC0281,233,161,69.1,Low (<75%)
GTC0282,233,162,69.53,Low (<75%)
GTC0283,233,188,80.69,Good (75%+)
GTC0284,233,160,68.67,Low (<75%)
GTC0285,233,166,71.24,Low (<75%)
GTC0286,233,164,70.39,Low (<75%)
GTC0287,233,166,71.24,Low (<75%)
GTC0288,233,168,72.1,Low (<75%)
GTC0289,233,169,72.53,Low (<75%)
GTC0290,233,181,77.68,Good (75%+)
GTC0291,233,168,72.1,Low (<75%)
GTC0292,233,167,71.67,Low (<75%)
GTC0293,233,170,72.96,Low (<75%)
GTC0294,233,185,79.4,Good (75%+)
GTC0295,233,168,72.1,Low (<75%)
GTC0296,233,169,72.53,Low (<75%)
GTC0297,233,174,74.68,Low (<75%)
GTC0298,233,166,71.24,Low (<75%)
GTC0299,233,183,78.54,Good (75%+)
GTC0300,233,164,70.39,Low (<75%)
GTC0301,233,182,78.11,Good (75%+)
GTC0302,233,163,69.96,Low (<75%)
GTC0303,233,181,77.68,Good (75%+)
GTC0304,233,170,72.96,Low (<75%)
GTC0305,233,191,81.97,Good (75%+)
GTC0306,233,187,80.26,Good (75%+)
GTC0307,233,179,76.82,Good (75%+)
GTC0308,233,167,71.67,Low (<75%)
GTC0309,233,193,82.83,Good (75%+)
GTC0310,233,174,74.68,Low (<75%)
GTC0311,233,186,79.83,Good (75%+)
GTC0312,233,179,76.82,Good (75%+)
GTC0313,233,183,78.54,Good (75%+)
GTC0314,233,166,71.24,Low (<75%)
GTC0315,233,168,72.1,Low (<75%)
GTC0316,233,176,75.54,Good (75%+)
GTC0317,233,165,70.82,Low (<75%)
GTC0318,233,177,75.97,Good (75%+)
GTC0319,233,171,73.39,Low (<75%)
GTC0320,233,164,70.39,Low (<75%)
GTC0321,233,179,76.82,Good (75%+)
GTC0322,233,167,71.67,Low (<75%)
GTC0323,233,170,72.96,Low (<75%)
GTC0324,233,165,70.82,Low (<75%)
GTC0325,233,184,78.97,Good (75%+)
GTC0326,233,177,75.97,Good (75%+)
GTC0327,233,171,73.39,Low (<75%)
GTC0328,233,180,77.25,Good (75%+)
GTC0329,233,171,73.39,Low (<75%)
GTC0330,233,164,70.39,Low (<75%)
GTC0331,233,165,70.82,Low (<75%)
GTC0332,233,182,78.11,Good (75%+)
GTC0333,233,173,74.25,Low (<75%)
GTC0334,233,175,75.11,Good (75%+)
GTC0335,233,169,72.53,Low (<75%)
GTC0336,233,169,72.53,Low (<75%)
GTC0337,233,175,75.11,Good (75%+)
GTC0338,233,179,76.82,Good (75%+)
GTC0339,233,175,75.11,Good (75%+)
GTC0340,233,180,77.25,Good (75%+)
GTC0341,233,170,72.96,Low (<75%)
GTC0342,233,177,75.97,Good (75%+)
GTC0343,233,190,81.55,Good (75%+)
GTC0344,233,194,83.26,Good (75%+)
GTC0345,233,173,74.25,Low (<75%)
GTC0346,233,187,80.26,Good (75%+)
GTC0347,233,179,76.82,Good (75%+)
GTC0348,233,170,72.96,Low (<75%)
GTC0349,233,177,75.97,Good (75%+)
GTC0350,233,190,81.55,Good (75%+)
GTC0351,233,177,75.97,Good (75%+)
GTC0352,233,183,78.54,Good (75%+)
GTC0353,233,181,77.68,Good (75%+)
GTC0354,233,172,73.82,Low (<75%)
GTC0355,233,170,72.96,Low (<75%)
GTC0356,233,185,79.4,Good (75%+)
GTC0357,233,175,75.11,Good (75%+)
GTC0358,233,168,72.1,Low (<75%)
GTC0359,233,166,71.24,Low (<75%)
GTC0360,233,179,76.82,Good (75%+)
GTC0361,233,172,73.82,Low (<75%)
GTC0362,233,179,76.82,Good (75%+)
GTC0363,233,169,72.53,Low (<75%)
GTC0364,233,173,74.25,Low (<75%)
GTC0365,233,180,77.25,Good (75%+)
GTC0366,233,171,73.39,Low (<75%)
GTC0367,233,169,72.53,Low (<75%)
GTC0368,233,177,75.97,Good (75%+)
GTC0369,233,160,68.67,Low (<75%)
GTC0370,233,179,76.82,Good (75%+)
GTC0371,233,160,68.67,Low (<75%)
GTC0372,233,192,82.4,Good (75%+)
GTC0373,233,167,71.67,Low (<75%)
GTC0374,233,179,76.82,Good (75%+)
GTC0375,233,179,76.82,Good (75%+)
GTC0376,233,167,71.67,Low (<75%)
GTC0377,233,168,72.1,Low (<75%)
GTC0378,233,187,80.26,Good (75%+)
GTC0379,233,179,76.82,Good (75%+)
GTC0380,233,164,70.39,Low (<75%)
GTC0381,233,189,81.12,Good (75%+)
GTC0382,233,172,73.82,Low (<75%)
GTC0383,233,192,82.4,Good (75%+)
GTC0384,233,173,74.25,Low (<75%)
GTC0385,233,172,73.82,Low (<75%)
GTC0386,233,169,72.53,Low (<75%)
GTC0387,233,169,72.53,Low (<75%)
GTC0388,233,171,73.39,Low (<75%)
GTC0389,233,167,71.67,Low (<75%)
GTC0390,233,179,76.82,Good (75%+)
GTC0391,233,177,75.97,Good (75%+)
GTC0392,233,178,76.39,Good (75%+)
GTC0393,233,177,75.97,Good (75%+)
GTC0394,233,177,75.97,Good (75%+)
GTC0395,233,178,76.39,Good (75%+)
GTC0396,233,168,72.1,Low (<75%)
GTC0397,233,177,75.97,Good (75%+)
GTC0398,233,157,67.38,Low (<75%)
GTC0399,233,178,76.39,Good (75%+)
GTC0400,233,171,73.39,Low (<75%)
GTC0401,233,178,76.39,Good (75%+)
GTC0402,233,174,74.68,Low (<75%)
GTC0403,233,185,79.4,Good (75%+)
GTC0404,233,157,67.38,Low (<75%)
GTC0405,233,167,71.67,Low (<75%)
GTC0406,233,170,72.96,Low (<75%)
GTC0407,233,180,77.25,Good (75%+)
GTC0408,233,178,76.39,Good (75%+)
GTC0409,233,172,73.82,Low (<75%)
GTC0410,233,176,75.54,Good (75%+)
GTC0411,233,172,73.82,Low (<75%)
GTC0412,233,197,84.55,Good (75%+)
GTC0413,233,171,73.39,Low (<75%)
GTC0414,233,171,73.39,Low (<75%)
GTC0415,233,172,73.82,Low (<75%)
GTC0416,233,175,75.11,Good (75%+)
GTC0417,233,179,76.82,Good (75%+)
GTC0418,233,166,71.24,Low (<75%)
GTC0419,233,172,73.82,Low (<75%)
GTC0420,233,189,81.12,Good (75%+)
GTC0421,233,191,81.97,Good (75%+)
GTC0422,233,180,77.25,Good (75%+)
GTC0423,233,162,69.53,Low (<75%)
GTC0424,233,165,70.82,Low (<75%)
GTC0425,233,174,74.68,Low (<75%)
GTC0426,233,177,75.97,Good (75%+)
GTC0427,233,165,70.82,Low (<75%)
GTC0428,233,168,72.1,Low (<75%)
GTC0429,233,182,78.11,Good (75%+)
GTC0430,233,168,72.1,Low (<75%)
GTC0431,233,152,65.24,Low (<75%)
GTC0432,233,164,70.39,Low (<75%)
GTC0433,233,190,81.55,Good (75%+)
GTC0434,233,164,70.39,Low (<75%)
GTC0435,233,178,76.39,Good (75%+)
GTC0436,233,177,75.97,Good (75%+)
GTC0437,233,183,78.54,Good (75%+)
GTC0438,233,167,71.67,Low (<75%)
GTC0439,233,186,79.83,Good (75%+)
GTC0440,233,178,76.39,Good (75%+)
GTC0441,233,180,77.25,Good (75%+)
GTC0442,233,192,82.4,Good (75%+)
GTC0443,233,165,70.82,Low (<75%)
GTC0444,233,160,68.67,Low (<75%)
GTC0445,233,187,80.26,Good (75%+)
GTC0446,233,182,78.11,Good (75%+)
GTC0447,233,160,68.67,Low (<75%)
GTC0448,233,161,69.1,Low (<75%)
GTC0449,233,171,73.39,Low (<75%)
GTC0450,233,173,74.25,Low (<75%)
GTC0451,233,168,72.1,Low (<75%)
GTC0452,233,175,75.11,Good (75%+)
GTC0453,233,181,77.68,Good (75%+)
GTC0454,233,188,80.69,Good (75%+)
GTC0455,233,169,72.53,Low (<75%)
GTC0456,233,171,73.39,Low (<75%)
GTC0457,233,176,75.54,Good (75%+)
GTC0458,233,171,73.39,Low (<75%)
GTC0459,233,176,75.54,Good (75%+)
GTC0460,233,174,74.68,Low (<75%)
GTC0461,233,166,71.24,Low (<75%)
GTC0462,233,170,72.96,Low (<75%)
GTC0463,233,156,66.95,Low (<75%)
GTC0464,233,176,75.54,Good (75%+)
GTC0465,233,173,74.25,Low (<75%)
GTC0466,233,164,70.39,Low (<75%)
GTC0467,233,171,73.39,Low (<75%)
GTC0468,233,175,75.11,Good (75%+)
GTC0469,233,175,75.11,Good (75%+)
GTC0470,233,177,75.97,Good (75%+)
GTC0471,233,178,76.39,Good (75%+)
GTC0472,233,170,72.96,Low (<75%)
GTC0473,233,183,78.54,Good (75%+)
GTC0474,233,175,75.11,Good (75%+)
GTC0475,233,177,75.97,Good (75%+)
GTC0476,233,177,75.97,Good (75%+)
GTC0477,233,182,78.11,Good (75%+)
GTC0478,233,185,79.4,Good (75%+)
GTC0479,233,168,72.1,Low (<75%)
GTC0480,233,184,78.97,Good (75%+)
GTC0481,233,180,77.25,Good (75%+)
GTC0482,233,178,76.39,Good (75%+)
GTC0483,233,187,80.26,Good (75%+)
GTC0484,233,178,76.39,Good (75%+)
GTC0485,233,170,72.96,Low (<75%)
GTC0486,233,169,72.53,Low (<75%)
GTC0487,233,160,68.67,Low (<75%)
GTC0488,233,170,72.96,Low (<75%)
GTC0489,233,169,72.53,Low (<75%)
GTC0490,233,169,72.53,Low (<75%)
GTC0491,233,172,73.82,Low (<75%)
GTC0492,233,175,75.11,Good (75%+)
GTC0493,233,184,78.97,Good (75%+)
GTC0494,233,185,79.4,Good (75%+)
GTC0495,233,176,75.54,Good (75%+)
GTC0496,233,186,79.83,Good (75%+)
GTC0497,233,169,72.53,Low (<75%)
GTC0498,233,183,78.54,Good (75%+)
GTC0499,233,168,72.1,Low (<75%)
GTC0500,233,158,67.81,Low (<75%)
GTC0501,233,168,72.1,Low (<75%)
GTC0502,233,154,66.09,Low (<75%)
GTC0503,233,184,78.97,Good (75%+)
GTC0504,233,175,75.11,Good (75%+)
GTC0505,233,173,74.25,Low (<75%)
GTC0506,233,193,82.83,Good (75%+)
GTC0507,233,188,80.69,Good (75%+)
GTC0508,233,168,72.1,Low (<75%)
GTC0509,233,175,75.11,Good (75%+)
GTC0510,233,181,77.68,Good (75%+)
GTC0511,233,171,73.39,Low (<75%)
GTC0512,233,172,73.82,Low (<75%)
GTC0513,233,176,75.54,Good (75%+)
GTC0514,233,181,77.68,Good (75%+)
GTC0515,233,173,74.25,Low (<75%)
GTC0516,233,174,74.68,Low (<75%)
GTC0517,233,178,76.39,Good (75%+)
GTC0518,233,168,72.1,Low (<75%)
GTC0519,233,184,78.97,Good (75%+)
GTC0520,233,178,76.39,Good (75%+)
GTC0521,233,158,67.81,Low (<75%)
GTC0522,233,168,72.1,Low (<75%)
GTC0523,233,177,75.97,Good (75%+)
GTC0524,233,178,76.39,Good (75%+)
GTC0525,233,187,80.26,Good (75%+)
GTC0526,233,171,73.39,Low (<75%)
GTC0527,233,180,77.25,Good (75%+)
GTC0528,233,164,70.39,Low (<75%)
GTC0529,233,191,81.97,Good (75%+)
GTC0530,233,179,76.82,Good (75%+)
GTC0531,233,172,73.82,Low (<75%)
GTC0532,233,165,70.82,Low (<75%)
GTC0533,233,163,69.96,Low (<75%)
GTC0534,233,191,81.97,Good (75%+)
GTC0535,233,183,78.54,Good (75%+)
GTC0536,233,169,72.53,Low (<75%)
GTC0537,233,181,77.68,Good (75%+)
GTC0538,233,186,79.83,Good (75%+)
GTC0539,233,185,79.4,Good (75%+)
GTC0540,233,160,68.67,Low (<75%)
GTC0541,233,160,68.67,Low (<75%)
GTC0542,233,178,76.39,Good (75%+)
GTC0543,233,175,75.11,Good (75%+)
GTC0544,233,177,75.97,Good (75%+)
GTC0545,233,168,72.1,Low (<75%)
GTC0546,233,179,76.82,Good (75%+)
GTC0547,233,177,75.97,Good (75%+)
GTC0548,233,178,76.39,Good (75%+)
GTC0549,233,192,82.4,Good (75%+)
GTC0550,233,176,75.54,Good (75%+)
GTC0551,233,158,67.81,Low (<75%)
GTC0552,233,183,78.54,Good (75%+)
GTC0553,233,160,68.67,Low (<75%)
GTC0554,233,170,72.96,Low (<75%)
GTC0555,233,184,78.97,Good (75%+)
GTC0556,233,177,75.97,Good (75%+)
GTC0557,233,168,72.1,Low (<75%)
GTC0558,233,171,73.39,Low (<75%)
GTC0559,233,160,68.67,Low (<75%)
GTC0560,233,168,72.1,Low (<75%)
GTC0561,233,184,78.97,Good (75%+)
GTC0562,233,176,75.54,Good (75%+)
GTC0563,233,173,74.25,Low (<75%)
GTC0564,233,166,71.24,Low (<75%)
GTC0565,233,177,75.97,Good (75%+)
GTC0566,233,179,76.82,Good (75%+)
GTC0567,233,171,73.39,Low (<75%)
GTC0568,233,152,65.24,Low (<75%)
GTC0569,233,177,75.97,Good (75%+)
GTC0570,233,175,75.11,Good (75%+)
GTC0571,233,184,78.97,Good (75%+)
GTC0572,233,176,75.54,Good (75%+)
GTC0573,233,179,76.82,Good (75%+)
GTC0574,233,180,77.25,Good (75%+)
GTC0575,233,176,75.54,Good (75%+)
GTC0576,233,162,69.53,Low (<75%)
GTC0577,233,182,78.11,Good (75%+)
GTC0578,233,172,73.82,Low (<75%)
GTC0579,233,155,66.52,Low (<75%)
GTC0580,233,175,75.11,Good (75%+)
GTC0581,233,176,75.54,Good (75%+)
GTC0582,233,175,75.11,Good (75%+)
GTC0583,233,181,77.68,Good (75%+)
GTC0584,233,181,77.68,Good (75%+)
GTC0585,233,183,78.54,Good (75%+)
GTC0586,233,168,72.1,Low (<75%)
GTC0587,233,186,79.83,Good (75%+)
GTC0588,233,178,76.39,Good (75%+)
GTC0589,233,182,78.11,Good (75%+)
GTC0590,233,188,80.69,Good (75%+)
GTC0591,233,166,71.24,Low (<75%)
GTC0592,233,162,69.53,Low (<75%)
GTC0593,233,174,74.68,Low (<75%)
GTC0594,233,182,78.11,Good (75%+)
GTC0595,233,183,78.54,Good (75%+)
GTC0596,233,190,81.55,Good (75%+)
GTC0597,233,171,73.39,Low (<75%)
GTC0598,233,168,72.1,Low (<75%)
GTC0599,233,180,77.25,Good (75%+)
GTC0600,233,174,74.68,Low (<75%)
GTC0601,233,169,72.53,Low (<75%)
GTC0602,233,169,72.53,Low (<75%)
GTC0603,233,171,73.39,Low (<75%)
GTC0604,233,179,76.82,Good (75%+)
GTC0605,233,159,68.24,Low (<75%)
GTC0606,233,180,77.25,Good (75%+)
GTC0607,233,170,72.96,Low (<75%)
GTC0608,233,177,75.97,Good (75%+)
GTC0609,233,180,77.25,Good (75%+)
GTC0610,233,179,76.82,Good (75%+)
GTC0611,233,176,75.54,Good (75%+)
GTC0612,233,173,74.25,Low (<75%)
GTC0613,233,166,71.24,Low (<75%)
GTC0614,233,167,71.67,Low (<75%)
GTC0615,233,173,74.25,Low (<75%)
GTC0616,233,175,75.11,Good (75%+)
GTC0617,233,166,71.24,Low (<75%)
GTC0618,233,173,74.25,Low (<75%)
GTC0619,233,170,72.96,Low (<75%)
GTC0620,233,181,77.68,Good (75%+)
GTC0621,233,172,73.82,Low (<75%)
GTC0622,233,182,78.11,Good (75%+)
GTC0623,233,177,75.97,Good (75%+)
GTC0624,233,179,76.82,Good (75%+)
GTC0625,233,167,71.67,Low (<75%)
GTC0626,233,174,74.68,Low (<75%)
GTC0627,233,181,77.68,Good (75%+)
GTC0628,233,187,80.26,Good (75%+)
GTC0629,233,180,77.25,Good (75%+)
GTC0630,233,157,67.38,Low (<75%)
GTC0631,233,167,71.67,Low (<75%)
GTC0632,233,178,76.39,Good (75%+)
GTC0633,233,183,78.54,Good (75%+)
